生源所在地,东乡族,京族,仡佬族,仫佬族,侗族,俄罗斯族,傈僳族,傣族,其他,哈尼族,哈萨克族,回族,土家族,土族,壮族,布依族,彝族,怒族,拉祜族,摩梭族,撒拉族,普米族,朝鲜族,柯尔克孜族,毛难族,水族,汉族,满族,珞巴族,瑶族,畲族,白族,纳西族,维吾尔族,羌族,苗族,蒙古族,藏族,达斡尔族,鄂温克族,锡伯族,门巴族,黎族,合计
山西省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025782013685239493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025904203323558164
广东省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04447702834799609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04447702834799609
广西壮族自治区,0.0,0.00024437927663734115,0.0,0.0006109481915933529,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.00012218963831867058,0.0,0.006598240469208211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.00024437927663734115,0.011241446725317693,0.0,0.0,0.0018328445747800588,0.0,0.00012218963831867058,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021871945259042035
新疆维吾尔自治区,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0015884652981427176,0.0015884652981427176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.013196480938416423,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.008186705767350928,0.0,0.0,0.0004887585532746823,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.026026392961876834
江苏省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04655425219941349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469208211143695
江西省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.025659824046920823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025782013685239493
河北省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006109481915933529,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.042155425219941346,0.0030547409579667643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.04630987292277615
河南省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000855327468230694,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04985337243401759,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051075268817204304
浙江省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04459921798631476,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04472140762463343
海南省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010997067448680353,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.011730205278592375
湖北省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004887585532746823,0.0015884652981427176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028103616813294232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304
湖南省,0.0,0.0,0.0,0.0,0.000855327468230694,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.004765395894428153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03201368523949169,0.0,0.0,0.000855327468230694,0.0,0.00012218963831867058,0.0,0.00012218963831867058,0.0,0.0010997067448680353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03995601173020528
甘肃省,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.00012218963831867058,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020161290322580645,0.00036656891495601173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004887585532746823,0.0,0.0,0.0,0.0,0.0,0.021871945259042035
福建省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030425219941348974,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030913978494623656
西藏自治区,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003421309872922776,0.00024437927663734115,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007331378299120235,0.0,0.0,0.0,0.00012218963831867058,0.0,0.011363636363636364
贵州省,0.0,0.0,0.00036656891495601173,0.0,0.000855327468230694,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0012218963831867058,0.0,0.0,0.0010997067448680353,0.0004887585532746823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010386119257086998,0.0004887585532746823,0.0,0.0,0.0,0.00036656891495601173,0.0,0.0,0.0,0.0021994134897360706,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.017961876832844576
辽宁省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006109481915933529,0.0,0.0,0.0,0.03396871945259042,0.004887585532746823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015884652981427176,0.0,0.0,0.0,0.0,0.0,0.0,0.04130009775171065
重庆市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022482893450635387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004887585532746823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024071358748778103
陕西省,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028470185728250243,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028836754643206255
青海省,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001466275659824047,0.00012218963831867058,0.0007331378299120235,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.00012218963831867058,0.0,0.0,0.0,0.011974584555229716,0.0004887585532746823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012218963831867058,0.001466275659824047,0.0,0.0,0.0,0.0,0.0,0.01686217008797654
黑龙江省,0.0,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024437927663734115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012218963831867058,0.0,0.0,0.0,0.030303030303030304,0.0010997067448680353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036656891495601173,0.0,0.00012218963831867058,0.0,0.0,0.0,0.0,0.033479960899315736
合计,0.00036656891495601173,0.00024437927663734115,0.0006109481915933529,0.0006109481915933529,0.0020772238514173997,0.00012218963831867058,0.00012218963831867058,0.00024437927663734115,0.00036656891495601173,0.0004887585532746823,0.0015884652981427176,0.020161290322580645,0.009164222873900294,0.000855327468230694,0.008186705767350928,0.0010997067448680353,0.0035434995112414466,0.00012218963831867058,0.00012218963831867058,0.00012218963831867058,0.00024437927663734115,0.00012218963831867058,0.005865102639296188,0.00036656891495601173,0.00012218963831867058,0.00036656891495601173,0.8801319648093842,0.021505376344086023,0.00012218963831867058,0.002688172043010753,0.00036656891495601173,0.001710654936461388,0.0007331378299120235,0.008308895405669599,0.0009775171065493646,0.004521016617790812,0.009775171065493646,0.010019550342130987,0.0006109481915933529,0.00012218963831867058,0.0006109481915933529,0.00012218963831867058,0.00036656891495601173,1.0
